wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,area,occup,occup_cat
18.0,18,13,0,0,1,0,0,1,south,profserv,profocc
4.0,12,9,0,0,0,0,0,1,south,profserv,profocc
3.0,12,1,0,1,0,0,0,1,south,services,other
3.55,12,6,0,0,1,1,1,0,northeast,other,other
3.0,12,11,1,0,1,1,2,0,northeast,services,servocc
8.75,12,47,44,0,0,1,0,0,northeast,other,other
2.9,8,49,6,0,1,0,1,0,northeast,ndurman,other
6.26,13,37,17,0,1,1,0,1,northeast,profserv,profocc
3.5,13,2,0,0,1,0,0,1,northeast,trade,profocc
4.6,14,7,0,0,1,1,0,1,northeast,trade,clerocc
6.0,12,22,8,0,0,0,2,1,northeast,trade,profocc
2.89,10,8,0,0,1,0,1,1,northeast,other,other
5.58,16,1,1,0,0,1,0,1,northeast,profserv,clerocc
4.0,12,43,6,0,1,1,0,0,northeast,trcommpu,other
6.0,16,2,2,0,0,0,0,1,northeast,ndurman,other
4.5,12,2,1,0,1,0,2,1,northeast,construc,other
2.92,14,1,3,0,0,0,0,1,northeast,profserv,clerocc
4.33,18,1,0,0,0,0,0,1,northeast,trade,profocc
18.89,17,26,20,0,0,1,2,1,northeast,profserv,profocc
4.28,13,1,1,0,1,0,2,1,northeast,trade,profocc
4.57,14,37,7,0,1,1,0,1,northeast,services,servocc
6.25,15,12,4,0,1,1,2,1,northeast,profserv,profocc
2.95,14,41,23,1,0,1,0,0,northcen,profserv,profocc
8.75,12,24,1,0,0,0,0,1,northcen,ndurman,profocc
8.5,8,38,26,0,0,0,0,1,northcen,other,other
3.75,12,18,0,0,1,1,4,1,northcen,profserv,clerocc
3.15,12,26,1,0,0,1,0,1,northcen,trade,profocc
5.0,8,45,2,0,0,0,0,0,northcen,ndurman,other
6.46,12,27,0,0,0,1,3,0,northcen,other,other
2.0,9,2,0,0,0,0,3,0,northcen,trade,servocc
4.79,12,41,8,0,0,1,0,1,northcen,trade,profocc
5.78,16,11,4,0,0,1,2,1,northcen,ndurman,profocc
3.18,12,5,0,0,1,1,0,1,northcen,profserv,servocc
4.68,16,3,1,0,1,0,0,1,northcen,profserv,profocc
4.1,12,3,2,0,1,0,0,1,northcen,profserv,servocc
2.91,12,4,0,0,0,1,0,1,south,trade,other
6.0,13,21,13,0,0,1,4,0,south,ndurman,other
3.6,10,34,26,0,1,1,0,0,south,ndurman,other
3.95,6,49,6,0,0,1,6,0,south,other,other
7.0,12,6,5,1,0,1,1,0,south,construc,other
3.0,12,26,9,0,1,1,0,0,south,services,servocc
6.08,16,9,0,0,0,0,0,0,south,services,profocc
8.63,12,23,9,0,0,1,1,0,south,ndurman,other
3.0,8,33,2,0,0,1,0,0,south,ndurman,other
3.75,12,5,2,0,1,1,1,0,south,profserv,clerocc
2.9,6,49,7,0,0,1,0,0,south,other,servocc
3.0,4,48,0,1,0,1,0,0,south,ndurman,other
6.25,11,35,31,0,0,1,0,1,south,trade,other
3.5,11,23,2,1,1,0,2,0,south,ndurman,other
3.0,7,26,1,0,1,0,3,0,south,trade,servocc
3.24,12,16,0,0,1,1,2,1,south,trade,clerocc
8.02,18,23,3,0,1,1,1,1,south,profserv,profocc
3.33,12,36,8,0,1,1,1,1,south,profserv,clerocc
5.25,16,4,0,0,0,0,0,1,south,ndurman,profocc
6.25,12,10,0,0,0,1,3,1,south,construc,other
3.5,14,18,2,0,0,1,1,0,northcen,trade,profocc
2.95,12,3,1,0,0,0,1,0,northcen,trade,other
3.0,10,7,0,0,1,1,2,0,northcen,profserv,servocc
4.69,10,7,7,0,0,0,0,0,northcen,other,other
3.73,9,33,2,0,1,0,1,0,northcen,other,other
4.0,10,34,12,0,0,1,0,0,northcen,other,other
4.0,12,8,0,0,1,1,2,0,northcen,trade,profocc
2.9,12,17,1,0,1,1,2,0,northcen,ndurman,other
3.05,12,2,0,0,1,0,1,0,northcen,profserv,servocc
5.05,10,5,0,0,1,0,0,1,northcen,profserv,clerocc
13.95,16,41,16,0,0,1,0,1,northcen,ndurman,profocc
18.16,16,35,28,0,0,1,1,1,northcen,ndurman,profocc
6.25,16,11,4,0,0,0,0,1,northcen,services,profocc
5.25,12,4,0,1,0,0,0,1,northcen,ndurman,clerocc
4.79,12,12,3,0,1,1,3,1,northcen,profserv,profocc
3.35,7,35,0,0,1,0,1,1,south,other,other
3.0,8,33,0,0,0,1,1,1,south,trcommpu,other
8.43,16,8,6,0,0,1,0,1,south,ndurman,profocc
5.7,16,2,0,0,0,0,0,1,south,trade,profocc
11.98,18,8,10,0,0,1,2,1,south,trcommpu,profocc
3.5,13,29,1,0,1,1,0,0,south,profserv,clerocc
4.24,10,14,5,1,0,1,1,0,south,trade,other
7.0,16,26,3,0,1,1,1,1,south,profserv,profocc
6.0,14,11,3,0,1,1,2,1,south,profserv,clerocc
12.22,16,10,2,0,0,0,0,1,south,profserv,profocc
4.5,12,13,0,0,0,1,0,1,south,trade,other
3.0,9,23,20,0,1,1,2,0,south,ndurman,other
2.9,11,1,2,1,0,0,2,0,south,trade,servocc
15.0,11,35,31,0,0,1,0,0,south,ndurman,other
4.0,12,5,2,0,0,1,0,0,south,construc,other
5.25,11,13,11,0,0,1,2,0,south,ndurman,other
4.0,12,22,3,0,0,1,3,0,south,ndurman,other
3.3,12,21,9,0,1,1,2,0,south,trade,profocc
5.05,12,19,0,0,1,1,3,0,south,profserv,clerocc
3.58,12,13,0,0,0,0,0,1,south,services,other
5.0,14,15,5,0,0,1,2,0,south,trade,profocc
4.57,14,3,0,0,0,1,0,0,south,profserv,profocc
12.5,18,6,2,0,0,0,0,1,south,services,clerocc
3.45,12,6,5,0,1,1,0,1,south,trade,clerocc
4.63,12,16,1,0,1,0,0,1,south,profserv,clerocc
10.0,12,31,2,0,0,1,0,1,south,trade,profocc
2.92,11,1,0,0,1,0,1,0,northcen,trade,servocc
4.51,12,5,2,0,0,0,0,1,northcen,trade,other
6.5,17,3,0,0,0,1,0,1,northcen,profserv,profocc
7.5,16,11,0,0,0,1,0,1,northcen,services,profocc
3.54,13,6,7,0,1,1,0,0,northcen,profserv,clerocc
4.2,13,11,3,0,1,1,2,1,northcen,trade,clerocc
3.51,12,7,2,0,1,1,0,1,northcen,trade,clerocc
4.5,14,5,0,0,0,1,0,1,northcen,construc,profocc
3.35,14,5,4,0,1,1,0,1,northcen,trade,profocc
2.91,11,2,2,0,0,0,2,1,northcen,trade,servocc
5.25,10,44,7,0,0,1,1,1,northcen,other,other
4.05,8,44,25,0,0,1,0,1,northcen,ndurman,servocc
3.75,14,13,0,0,1,1,3,1,northcen,trade,clerocc
3.4,12,26,15,0,1,1,1,1,northcen,construc,clerocc
3.0,10,2,1,0,1,0,1,1,south,trade,clerocc
6.29,17,10,3,0,0,1,1,1,south,services,profocc
2.54,9,2,0,0,1,0,1,1,south,trade,servocc
4.5,12,35,0,0,1,1,1,1,south,trade,clerocc
3.13,12,6,5,0,1,1,1,1,south,profserv,clerocc
6.36,14,8,1,0,0,1,0,1,south,trade,profocc
4.68,16,1,0,0,0,0,0,1,south,ndurman,profocc
6.8,12,14,10,0,0,1,2,0,south,ndurman,other
8.53,10,14,6,0,0,1,0,0,south,other,other
4.17,0,22,10,0,1,0,0,0,south,services,other
3.75,14,8,4,0,1,1,0,0,south,trcommpu,profocc
11.1,15,1,4,0,1,0,2,0,south,profserv,clerocc
3.26,16,15,5,1,1,1,2,1,south,trade,profocc
9.13,12,14,12,0,0,1,3,1,south,ndurman,profocc
4.5,11,37,10,0,0,1,2,1,south,ndurman,other
3.0,11,1,1,0,1,0,1,1,south,profserv,servocc
8.75,12,4,4,0,0,1,0,1,south,profserv,clerocc
4.14,13,29,0,0,1,1,0,1,south,trade,clerocc
2.87,12,45,8,0,1,1,0,0,northcen,trade,profocc
3.35,13,22,0,0,1,0,2,0,northcen,trade,clerocc
6.08,16,42,10,0,0,0,0,0,northcen,trade,profocc
3.0,15,9,0,1,0,0,0,0,northcen,services,other
4.2,16,8,0,0,1,1,1,1,northcen,profserv,clerocc
5.6,15,31,15,0,1,0,2,1,northcen,profserv,servocc
10.0,12,24,24,0,0,1,0,1,northcen,ndurman,other
12.5,18,16,5,0,0,1,1,1,northcen,profserv,profocc
3.76,6,6,0,0,0,0,4,0,south,other,other
3.1,6,14,0,1,1,0,5,1,south,trade,clerocc
4.29,12,47,25,0,1,1,2,1,south,ndurman,clerocc
10.92,12,34,5,0,0,1,0,0,south,profserv,profocc
7.5,16,6,2,0,1,1,1,1,south,profserv,profocc
4.05,9,7,4,0,1,1,1,1,south,other,other
4.65,12,27,2,0,0,1,3,1,south,other,servocc
5.0,11,24,5,0,0,1,0,1,south,trade,other
2.9,10,18,0,0,1,1,2,0,south,trade,clerocc
8.0,12,12,3,1,1,0,1,0,south,other,other
8.43,8,27,3,0,0,1,3,1,south,ndurman,other
2.92,9,49,0,0,1,0,0,1,south,services,other
6.25,17,4,0,0,1,0,0,1,west,trade,profocc
6.25,16,24,2,0,1,1,2,1,west,profserv,profocc
5.11,11,3,0,0,0,0,0,1,west,construc,other
4.0,10,2,0,0,1,0,1,1,west,services,other
4.44,8,29,11,0,0,1,3,0,south,trade,profocc
6.88,13,34,21,0,0,1,0,0,south,services,profocc
5.43,14,10,3,1,0,1,1,1,south,trade,profocc
3.0,13,5,0,0,1,0,1,1,south,profserv,servocc
2.9,11,2,0,0,1,0,2,1,south,trade,profocc
6.25,7,39,21,1,0,1,0,1,south,trade,other
4.34,16,5,2,1,1,0,0,1,south,profserv,clerocc
3.25,12,14,2,0,1,1,2,0,south,trcommpu,clerocc
7.26,13,8,2,0,0,0,0,1,south,trade,profocc
6.35,14,10,1,0,1,1,2,1,south,other,other
5.63,16,2,2,0,0,1,0,1,northeast,trade,servocc
8.75,14,9,3,0,0,1,1,1,northeast,ndurman,profocc
3.2,11,1,0,0,0,0,0,0,northeast,trade,servocc
3.0,8,45,1,0,1,1,0,0,northeast,other,other
3.0,14,33,3,0,1,1,0,1,northeast,profserv,servocc
12.5,17,21,18,0,0,1,3,1,northeast,other,profocc
2.88,10,2,0,0,1,0,3,1,northeast,trade,clerocc
3.35,12,9,1,0,0,1,0,1,northcen,trade,other
6.5,12,33,2,0,0,1,0,0,northcen,other,other
10.38,18,16,2,1,0,1,1,1,northcen,profserv,profocc
4.5,14,10,0,0,0,1,0,1,northcen,profserv,other
10.0,18,9,8,0,0,0,0,0,northcen,trcommpu,profocc
3.81,12,8,1,0,1,1,2,0,northcen,services,servocc
8.8,16,9,1,0,0,1,0,0,south,profserv,profocc
9.42,14,23,0,0,1,1,2,0,south,services,other
6.33,12,23,8,0,0,1,2,0,south,other,profocc
4.0,9,22,18,1,0,0,0,0,south,other,other
2.9,12,37,0,0,1,1,0,0,south,trade,profocc
20.0,12,22,4,0,0,1,1,0,south,trade,profocc
11.25,17,28,25,0,0,1,1,1,south,ndurman,other
3.5,12,14,0,1,1,0,2,1,south,construc,other
6.0,15,19,4,0,1,1,2,1,south,profserv,servocc
14.38,17,10,9,1,0,1,1,0,south,ndurman,profocc
6.36,16,25,0,0,0,1,1,1,south,ndurman,profocc
3.55,12,21,0,0,1,1,1,0,south,ndurman,other
3.0,15,32,0,0,0,1,0,1,south,services,servocc
4.5,16,21,10,0,0,1,1,1,south,trade,profocc
6.63,12,36,0,0,1,0,0,1,south,trade,clerocc
9.3,15,2,2,0,0,1,0,1,south,trade,other
3.0,12,11,0,0,1,1,2,1,south,trade,profocc
3.25,12,40,2,0,1,0,0,0,northcen,trade,servocc
1.5,12,11,1,0,1,1,2,0,northcen,profserv,servocc
5.9,12,9,7,0,1,1,1,1,northcen,other,other
8.0,16,23,4,0,0,0,0,1,northcen,trade,profocc
2.9,11,1,0,0,1,0,1,1,northcen,trade,profocc
3.29,14,30,13,0,0,0,0,1,northcen,trade,profocc
6.5,14,41,33,0,0,1,0,1,northcen,trade,profocc
4.0,13,6,0,0,1,0,1,1,northcen,construc,clerocc
6.0,14,11,0,0,0,1,0,0,northcen,trade,other
4.08,12,43,17,0,1,1,0,1,northcen,profserv,clerocc
3.75,12,39,2,0,1,1,0,1,northcen,services,profocc
3.05,8,50,24,0,1,0,0,0,south,ndurman,other
3.5,12,26,20,0,1,1,0,0,south,ndurman,other
2.92,3,51,30,1,0,0,0,1,south,services,servocc
4.5,11,3,9,0,0,0,0,1,south,construc,other
3.35,15,3,1,0,1,1,2,1,south,services,clerocc
5.95,11,15,9,1,0,1,1,0,south,construc,other
8.0,12,17,6,0,0,1,2,0,south,trade,profocc
3.0,4,36,0,0,0,1,1,0,south,construc,other
5.0,9,31,9,1,0,1,6,0,south,other,other
5.5,12,9,4,0,0,1,1,0,south,trade,other
2.65,12,42,10,0,1,1,0,1,west,services,clerocc
3.0,11,3,0,0,1,0,2,1,west,trade,other
4.5,12,37,14,0,1,1,0,0,west,profserv,clerocc
17.5,16,23,22,0,0,1,3,1,west,trade,profocc
8.18,13,21,5,0,0,0,0,1,west,trade,profocc
9.09,15,11,12,0,0,1,1,1,west,trcommpu,profocc
11.82,16,35,13,0,0,1,0,1,west,trcommpu,profocc
3.25,12,42,0,0,1,1,0,1,west,trade,profocc
4.5,12,3,0,0,0,0,0,1,west,other,other
4.5,12,13,0,0,0,1,0,1,west,other,other
3.71,9,14,7,0,0,1,2,0,south,ndurman,other
6.5,10,14,11,0,0,1,3,0,south,trade,other
2.9,12,39,1,0,1,1,0,0,south,profserv,servocc
5.6,11,11,8,0,0,1,2,0,south,other,clerocc
2.23,8,28,3,0,0,1,4,0,south,profserv,profocc
5.0,6,18,0,0,1,1,3,1,west,trade,servocc
8.33,16,6,2,0,0,1,0,1,west,trcommpu,clerocc
2.9,12,26,1,0,1,0,4,1,south,trade,clerocc
6.25,12,21,6,0,0,1,3,1,south,trade,profocc
4.55,16,34,2,0,0,1,0,0,south,profserv,profocc
3.28,12,17,2,0,1,0,0,0,south,profserv,servocc
2.3,10,2,0,0,1,0,4,1,northcen,trade,servocc
3.3,13,5,0,0,1,0,0,1,northcen,profserv,profocc
3.15,13,1,0,0,1,0,4,1,northcen,trcommpu,clerocc
12.5,14,40,30,0,0,1,0,1,northcen,other,profocc
5.15,16,39,21,0,1,0,0,1,west,profserv,clerocc
3.13,10,1,1,0,0,0,2,1,west,trade,servocc
7.25,12,14,5,0,0,1,3,1,west,trcommpu,other
2.9,12,2,2,0,1,0,0,1,west,profserv,clerocc
1.75,11,2,1,0,0,0,2,1,west,trade,servocc
2.89,0,42,0,0,1,1,2,0,west,services,other
2.9,5,34,0,0,1,1,5,0,west,ndurman,other
17.71,16,10,3,0,0,1,1,1,west,construc,profocc
6.25,16,4,3,0,0,1,0,0,west,trcommpu,servocc
2.6,9,4,0,0,0,0,1,0,west,trade,other
6.63,15,21,3,0,1,1,2,0,west,profserv,profocc
3.5,12,31,3,1,1,0,1,1,west,services,other
6.5,12,20,14,0,0,1,3,1,west,trade,other
3.0,12,36,1,1,1,0,0,1,west,services,other
4.38,13,7,0,1,0,1,1,1,west,ndurman,other
10.0,12,15,0,0,0,0,1,0,northeast,services,profocc
4.95,7,25,17,0,0,1,5,0,northeast,construc,other
9.0,17,7,0,0,1,1,2,0,northeast,profserv,profocc
1.43,12,17,0,0,1,1,2,0,northeast,trade,other
3.08,12,3,1,0,0,0,0,0,northeast,profserv,profocc
9.33,14,12,11,0,0,1,3,0,northeast,profserv,profocc
7.5,12,18,5,0,0,1,2,0,west,trade,other
4.75,13,47,1,0,0,1,0,0,west,trade,other
5.65,12,2,0,0,0,0,0,0,west,construc,other
15.0,16,14,2,0,1,1,2,0,west,profserv,profocc
2.27,10,2,0,0,1,0,3,0,west,trade,profocc
4.67,15,13,18,0,0,1,3,0,west,construc,profocc
11.56,16,5,1,0,0,1,0,0,west,ndurman,other
3.5,14,5,4,1,1,0,2,0,west,profserv,clerocc
